customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total
2189-WWOEW,yes,female,0,no,yes,15,yes,no,fiber-optic,no,yes,no,no,no,yes,month-to-month,yes,bank-transfer-(automatic),85.9,1269.55
2190-BCXEC,no,female,0,yes,no,40,yes,yes,fiber-optic,no,no,no,yes,no,no,month-to-month,yes,credit-card-(automatic),78.85,3126.85
2190-PHBHR,no,female,0,yes,no,72,yes,yes,fiber-optic,yes,yes,no,no,no,yes,two-year,yes,credit-card-(automatic),94.45,6921.7
2192-CKRLV,no,female,0,yes,no,72,no,no phone service,dsl,yes,yes,yes,no,no,yes,two-year,yes,electronic-check,49.2,3580.95
2192-OZITF,no,female,0,no,no,45,yes,yes,dsl,yes,no,no,yes,no,yes,two-year,no,mailed-check,73.55,3349.1
2193-SFWQW,no,male,0,yes,yes,72,yes,no,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,no,bank-transfer-(automatic),111.95,8033.1
2194-IIQOF,no,female,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two-year,no,credit-card-(automatic),89.3,6388.65
2195-VVRJF,no,male,1,yes,no,18,yes,no,dsl,yes,no,no,no,no,yes,month-to-month,yes,credit-card-(automatic),59.1,1011.05
2195-ZRVAX,yes,female,0,yes,no,47,yes,no,fiber-optic,no,no,yes,no,no,yes,month-to-month,yes,electronic-check,85.3,4045.65
2197-OMWGI,no,female,1,yes,yes,68,no,no phone service,dsl,no,yes,yes,no,yes,yes,two-year,yes,electronic-check,53.0,3656.25
2200-DSAAL,no,female,0,no,no,68,yes,yes,dsl,no,yes,yes,no,yes,yes,two-year,yes,electronic-check,80.65,5330.2
2202-CUYXZ,yes,male,0,no,no,1,yes,no,fiber-optic,no,no,yes,no,yes,no,month-to-month,yes,electronic-check,84.85,84.85
2202-OUTMO,no,female,0,yes,no,34,yes,yes,dsl,yes,no,no,yes,no,no,month-to-month,yes,bank-transfer-(automatic),60.85,2003.6
2203-GHNWN,no,female,0,yes,no,24,yes,yes,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,mailed-check,79.65,1928.7
2205-LPVGL,no,male,1,yes,yes,58,yes,yes,fiber-optic,yes,yes,no,yes,no,no,one-year,yes,bank-transfer-(automatic),89.85,5125.75
2205-YMZZJ,yes,male,1,no,no,7,yes,yes,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,electronic-check,84.8,546.95
2207-NHRJK,yes,male,0,no,no,1,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,electronic-check,50.8,50.8
2207-OBZNX,yes,male,0,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed-check,51.0,354.05
2207-QPJED,no,female,1,yes,no,37,yes,no,fiber-optic,no,no,yes,yes,yes,no,month-to-month,no,electronic-check,90.0,3371.75
2207-RYYRL,no,male,0,yes,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,24.55,1331.05
2208-MPXIO,no,female,0,yes,yes,45,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,yes,bank-transfer-(automatic),20.0,886.4
2208-NKVVH,no,male,0,yes,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,24.25,1077.95
2208-NQBCT,no,female,0,yes,yes,26,yes,no,fiber-optic,yes,yes,no,no,no,no,month-to-month,no,electronic-check,81.95,2070.05
2208-UGTGR,no,male,0,no,no,56,yes,yes,fiber-optic,no,yes,no,no,yes,yes,month-to-month,no,electronic-check,98.6,5581.05
2209-XADXF,no,female,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,bank-transfer-(automatic),25.25,25.25
2211-RMNHO,no,female,0,yes,yes,68,yes,yes,dsl,no,yes,yes,yes,yes,yes,two-year,no,bank-transfer-(automatic),85.3,5560.0
2212-LYASK,no,male,0,yes,yes,27,no,no phone service,dsl,no,yes,yes,no,no,yes,one-year,yes,credit-card-(automatic),45.85,1246.4
2215-ZAFGX,no,male,0,no,no,9,yes,yes,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,electronic-check,85.5,791.7
2219-MVUSO,yes,male,0,no,no,8,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed-check,45.15,438.4
2220-IAHLS,no,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit-card-(automatic),19.4,19.4
2223-GDSHL,no,male,0,yes,yes,71,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),116.05,8297.5
2223-KAGMX,yes,female,0,no,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank-transfer-(automatic),19.4,289.3
2225-ZRGSG,yes,female,0,yes,yes,70,yes,yes,fiber-optic,yes,yes,yes,yes,no,no,two-year,no,bank-transfer-(automatic),93.9,6579.05
2226-ICFDO,no,female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two-year,yes,credit-card-(automatic),85.9,6110.75
2227-JRSJX,no,female,0,no,no,21,yes,no,fiber-optic,no,yes,no,yes,yes,yes,month-to-month,yes,bank-transfer-(automatic),99.15,1956.4
2228-BZDEE,no,female,0,no,no,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,20.1,1079.45
2229-DPMBI,no,female,0,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,19.5,162.15
2229-VWQJH,no,female,0,no,no,24,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,credit-card-(automatic),49.3,1233.25
2230-XTUWL,no,female,0,yes,yes,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,19.55,883.35
2232-DMLXU,yes,female,0,yes,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,no,mailed-check,55.2,55.2
2233-FAGXV,no,female,0,yes,yes,5,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed-check,24.3,132.25
2233-TXSIU,no,male,0,yes,yes,17,no,no phone service,dsl,yes,no,yes,no,yes,no,one-year,no,credit-card-(automatic),44.45,792.15
2234-EOFPT,no,male,0,yes,no,72,yes,no,dsl,yes,yes,no,yes,yes,yes,two-year,yes,bank-transfer-(automatic),79.35,5753.25
2234-XADUH,no,female,0,yes,yes,72,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,one-year,yes,credit-card-(automatic),103.2,7362.9
2235-DWLJU,no,female,1,no,no,6,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,44.4,263.05
2235-EZAIK,no,female,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,no,two-year,no,credit-card-(automatic),79.2,5401.9
2235-ZGKPT,yes,female,0,yes,yes,4,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,mailed-check,50.85,239.55
2236-HILPA,no,male,0,yes,yes,62,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,credit-card-(automatic),20.65,1218.45
2237-ZFSMY,yes,female,0,no,no,39,yes,no,fiber-optic,yes,no,yes,yes,yes,no,one-year,yes,electronic-check,95.55,3692.85
2239-CFOUJ,no,male,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,mailed-check,20.4,20.4
2239-CGBUZ,no,female,0,yes,no,51,yes,no,dsl,yes,yes,no,yes,no,no,one-year,yes,bank-transfer-(automatic),60.5,3145.15
2239-JALAW,yes,male,0,no,no,58,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,one-year,yes,bank-transfer-(automatic),103.25,6017.65
2240-HSJQD,no,male,0,no,yes,38,yes,yes,fiber-optic,no,yes,no,no,no,no,month-to-month,yes,mailed-check,81.85,3141.7
2242-MFOTG,no,male,0,no,no,33,yes,yes,fiber-optic,yes,no,no,no,no,no,one-year,no,bank-transfer-(automatic),80.1,2603.3
2243-FNMMI,no,male,0,no,no,20,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,19.4,415.4
2245-ADZFJ,no,female,0,yes,yes,31,yes,yes,dsl,no,yes,no,yes,yes,yes,two-year,no,bank-transfer-(automatic),80.55,2471.6
2249-YPRNG,yes,female,0,yes,yes,20,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank-transfer-(automatic),105.85,2239.65
2250-IVBWA,no,male,0,yes,yes,64,yes,no,fiber-optic,yes,yes,no,no,no,no,month-to-month,no,electronic-check,81.05,5135.35
2251-PYLPB,no,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,no,yes,two-year,no,credit-card-(automatic),79.55,5810.9
2252-ISRNH,no,male,0,yes,yes,9,yes,yes,fiber-optic,no,no,yes,no,yes,no,one-year,yes,electronic-check,90.35,767.9
2252-JHJGE,no,male,0,no,no,61,yes,yes,fiber-optic,yes,no,yes,no,yes,yes,one-year,no,electronic-check,104.0,6363.45
2252-NKNSI,no,male,0,no,yes,52,yes,yes,dsl,yes,yes,no,yes,yes,yes,two-year,yes,mailed-check,85.15,4461.85
2253-KPMNB,no,female,0,yes,yes,69,no,no phone service,dsl,yes,yes,yes,yes,no,no,two-year,no,bank-transfer-(automatic),46.25,3121.4
2254-DLXRI,no,female,0,no,no,1,yes,yes,fiber-optic,no,yes,no,no,no,no,month-to-month,yes,mailed-check,79.15,79.15
2256-YLYLP,no,male,0,yes,yes,68,yes,no,dsl,no,no,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),72.95,4953.25
2257-BOVXD,no,male,0,yes,no,14,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,yes,credit-card-(automatic),66.6,979.5
2259-OUUSZ,no,male,0,no,no,7,no,no phone service,dsl,no,no,yes,yes,no,no,one-year,yes,credit-card-(automatic),35.5,249.55
2260-USTRB,yes,female,1,no,no,2,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,bank-transfer-(automatic),70.2,115.95
2262-SLNVK,no,female,0,no,no,1,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,no,electronic-check,70.1,70.1
2263-SFSQZ,no,male,0,yes,yes,51,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,yes,mailed-check,24.95,1222.25
2265-CYWIV,yes,female,1,yes,no,4,yes,yes,fiber-optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic-check,99.6,347.65
2266-FUBDZ,no,male,0,yes,yes,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,19.35,278.85
2266-SJNAT,no,female,0,yes,no,72,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,one-year,no,credit-card-(automatic),109.15,7789.6
2267-FPIMA,no,male,0,yes,no,50,yes,yes,fiber-optic,yes,yes,no,no,no,yes,month-to-month,yes,credit-card-(automatic),94.4,4914.9
2267-WTPYD,no,female,1,yes,no,57,yes,yes,fiber-optic,no,yes,yes,no,no,yes,month-to-month,no,credit-card-(automatic),94.0,5438.95
2270-CHBFN,no,female,0,yes,no,44,yes,yes,fiber-optic,yes,yes,yes,yes,no,no,month-to-month,yes,credit-card-(automatic),95.1,4060.55
2272-JKMSI,no,female,0,yes,yes,62,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,one-year,yes,electronic-check,110.8,6840.95
2272-QAGFO,yes,female,1,no,no,14,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,74.3,1096.25
2272-UOINI,no,female,0,no,no,7,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,electronic-check,78.5,571.05
2272-WUSPA,no,female,0,yes,no,72,yes,yes,fiber-optic,yes,yes,yes,no,yes,yes,two-year,yes,electronic-check,110.75,7751.7
2273-QCKXA,no,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed-check,49.05,49.05
2274-XUATA,no,male,1,yes,no,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),63.1,4685.55
2275-RBYQS,no,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed-check,45.4,45.4
2276-YDAVZ,yes,female,0,no,no,3,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,credit-card-(automatic),75.1,270.7
2277-AXSDC,no,female,0,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,bank-transfer-(automatic),19.75,624.15
2277-BKJKN,no,female,1,yes,no,71,yes,no,fiber-optic,no,yes,yes,no,yes,yes,two-year,yes,electronic-check,99.2,7213.75
2277-DJJDL,no,male,1,yes,no,60,yes,yes,fiber-optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic-check,99.0,6017.9
2277-VWCNI,no,female,1,no,no,4,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,mailed-check,48.75,179.85
2279-AXJJK,no,male,0,yes,no,52,yes,yes,fiber-optic,no,yes,no,yes,no,yes,month-to-month,yes,credit-card-(automatic),95.65,5088.4
2282-YGNOR,no,female,0,no,no,29,yes,no,dsl,yes,no,yes,yes,no,no,one-year,no,credit-card-(automatic),58.0,1734.5
2284-VFLKH,no,male,0,yes,no,49,yes,no,fiber-optic,no,no,yes,yes,yes,yes,one-year,yes,credit-card-(automatic),99.25,4920.8
2292-XQWSV,no,male,0,yes,yes,40,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one-year,no,mailed-check,60.3,2448.5
2293-IJWPS,no,female,0,yes,no,57,yes,yes,fiber-optic,no,no,yes,no,yes,yes,one-year,yes,credit-card-(automatic),100.75,5985.0
2294-DMMUS,no,female,0,yes,yes,62,yes,yes,dsl,no,no,no,no,yes,yes,month-to-month,yes,credit-card-(automatic),70.45,4300.45
2294-SALNE,no,male,0,yes,yes,23,yes,no,fiber-optic,no,yes,yes,yes,no,no,one-year,no,mailed-check,86.8,1940.8
2296-DKZFP,no,female,0,yes,no,65,yes,no,dsl,yes,yes,yes,no,no,yes,two-year,no,bank-transfer-(automatic),71.0,4386.2
2300-RQGOI,no,female,0,no,no,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,20.05,741.5
2302-ANTDP,yes,female,1,yes,no,48,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,month-to-month,no,electronic-check,117.45,5438.9
2302-OUZXB,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,no,yes,yes,two-year,no,bank-transfer-(automatic),82.15,5784.3
2303-PJYHN,no,female,0,yes,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank-transfer-(automatic),19.85,52.0
2305-MRGLV,no,male,0,yes,no,28,yes,no,fiber-optic,no,no,no,yes,no,no,month-to-month,no,bank-transfer-(automatic),76.55,2065.4
2307-FYNNL,no,male,1,no,no,65,yes,yes,fiber-optic,yes,no,yes,yes,yes,yes,two-year,yes,electronic-check,109.05,7108.2
2308-STERM,no,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,19.4,61.05
2309-OSFEU,yes,male,0,no,no,10,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed-check,33.9,298.45
2311-QYMUQ,yes,female,0,yes,yes,16,yes,no,fiber-optic,no,yes,yes,no,yes,no,month-to-month,yes,credit-card-(automatic),89.45,1430.25
2314-TNDJQ,no,female,0,yes,yes,72,no,no phone service,dsl,yes,yes,yes,yes,no,yes,two-year,no,credit-card-(automatic),55.65,3880.05
2316-ESMLS,no,female,0,yes,yes,12,no,no phone service,dsl,yes,no,no,yes,no,no,one-year,no,credit-card-(automatic),33.15,444.75
2320-JRSDE,yes,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic-check,19.9,19.9
2320-SLKMB,no,female,0,no,no,26,no,no phone service,dsl,no,no,yes,yes,yes,no,month-to-month,yes,credit-card-(automatic),44.45,1183.8
2320-TZRRH,no,female,0,no,no,20,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,mailed-check,19.5,403.15
2320-YKQBO,no,female,0,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,19.3,144.95
2321-OMBXY,yes,female,0,yes,yes,38,yes,no,dsl,yes,yes,no,yes,yes,yes,one-year,no,credit-card-(automatic),80.3,3058.65
2322-VCZHZ,no,male,1,yes,no,23,yes,no,fiber-optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic-check,90.0,2024.1
2323-ARSVR,no,male,0,yes,no,67,yes,no,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,electronic-check,111.05,7321.05
2324-AALNO,no,female,0,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,bank-transfer-(automatic),24.55,1203.95
2324-EFHVG,no,male,0,no,no,64,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,two-year,yes,bank-transfer-(automatic),104.4,6692.65
2325-NBPZG,no,female,0,no,no,3,yes,no,fiber-optic,yes,no,no,no,no,no,month-to-month,yes,electronic-check,74.55,233.65
2325-WINES,no,female,0,no,no,32,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,one-year,yes,credit-card-(automatic),104.05,3416.85
2325-ZUSFD,yes,female,0,yes,yes,57,yes,no,dsl,yes,no,no,no,yes,yes,one-year,yes,bank-transfer-(automatic),70.1,3913.3
2330-PQGDQ,no,male,0,yes,yes,51,yes,yes,fiber-optic,no,yes,no,yes,no,no,one-year,no,bank-transfer-(automatic),84.2,4299.75
2332-EFBJY,yes,male,0,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed-check,19.7,342.4
2332-TODQS,no,female,0,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,credit-card-(automatic),25.05,1171.5
2333-KWEWW,no,male,0,no,no,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,credit-card-(automatic),20.05,388.6
2335-GSODA,no,male,0,no,yes,23,no,no phone service,dsl,yes,no,yes,yes,no,no,two-year,no,mailed-check,40.1,857.75
2338-BQEZT,no,female,0,no,no,55,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,credit-card-(automatic),50.55,2832.75
2342-CKIAO,no,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,20.3,41.2
2344-JMOGN,yes,male,0,yes,no,9,yes,no,fiber-optic,no,yes,yes,yes,yes,no,month-to-month,yes,mailed-check,94.85,890.6
2346-CZYIL,no,male,0,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,credit-card-(automatic),20.35,531.6
2346-DJQTB,no,female,0,no,no,35,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,electronic-check,24.15,812.5
2346-LOCWC,no,female,0,yes,yes,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,credit-card-(automatic),20.5,1191.4
2347-WKKAE,no,male,0,yes,no,42,yes,yes,fiber-optic,yes,no,yes,no,no,yes,month-to-month,yes,electronic-check,94.4,4014.6
2348-KCJLT,no,female,0,yes,no,44,yes,no,dsl,yes,yes,yes,no,no,no,one-year,yes,mailed-check,61.5,2722.2
2351-BKRZW,no,female,0,yes,yes,43,yes,no,dsl,yes,no,yes,no,yes,yes,two-year,no,bank-transfer-(automatic),75.2,3254.35
2351-RRBUE,no,female,0,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,no,mailed-check,20.65,134.05
2353-VPYNS,,male,1,no,no,1,yes,yes,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,73.65,73.65
2357-COQEK,yes,female,1,no,no,28,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic-check,103.3,2890.65
2359-KLTEK,no,female,0,yes,yes,41,yes,no,fiber-optic,no,no,yes,no,yes,yes,month-to-month,yes,bank-transfer-(automatic),94.9,3848.0
2359-KMGLI,yes,male,0,no,no,24,yes,yes,fiber-optic,no,yes,no,no,no,no,month-to-month,yes,electronic-check,80.25,1861.5
2359-QWQUL,yes,female,0,yes,no,39,yes,no,fiber-optic,yes,no,yes,yes,yes,yes,one-year,yes,credit-card-(automatic),104.7,4134.85
2360-RDGRO,no,male,0,yes,no,65,yes,yes,fiber-optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic-check,104.25,6812.95
2361-FJWNO,no,male,0,no,no,40,no,no phone service,dsl,no,yes,no,yes,no,no,one-year,no,credit-card-(automatic),36.0,1382.9
2361-UPSND,no,female,0,yes,no,46,yes,no,dsl,yes,yes,no,yes,no,yes,one-year,no,mailed-check,70.6,3231.05
2362-IBOOY,yes,male,0,no,no,36,yes,yes,fiber-optic,no,no,no,no,no,yes,month-to-month,yes,electronic-check,84.75,3050.15
2363-BJLSL,no,male,0,no,no,62,yes,no,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,bank-transfer-(automatic),80.4,4981.15
2364-UFROM,no,male,0,no,no,30,yes,no,dsl,yes,yes,no,yes,yes,no,one-year,no,electronic-check,70.4,2044.75
2368-GAKKQ,no,female,0,no,no,70,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),113.65,7939.25
2369-FEVNO,no,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed-check,19.9,19.9
2369-UAPKZ,yes,male,0,no,no,5,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,no,mailed-check,104.1,541.9
2371-JQHZZ,no,male,0,yes,no,24,yes,yes,fiber-optic,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,93.0,2248.05
2371-JUNGC,no,male,0,no,no,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,20.25,208.0
2371-KFUOG,no,male,0,no,no,58,yes,no,fiber-optic,yes,yes,no,no,yes,yes,one-year,no,bank-transfer-(automatic),99.15,5720.95
2372-HWUHI,yes,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic-check,44.35,81.25
2373-NTKOD,no,male,0,no,no,8,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic-check,66.25,546.45
2378-HTWFW,no,male,1,no,no,35,yes,yes,fiber-optic,yes,no,no,no,no,yes,month-to-month,no,credit-card-(automatic),91.0,3180.5
2378-VTKDH,no,male,1,yes,no,65,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic-check,104.35,6578.55
2378-YIZKA,no,female,0,yes,yes,68,yes,no,dsl,yes,yes,yes,yes,yes,yes,two-year,yes,credit-card-(automatic),85.0,5607.75
2379-ENZGV,yes,male,0,no,no,6,yes,no,fiber-optic,no,yes,no,no,yes,no,month-to-month,yes,electronic-check,84.85,523.5
2379-GYFLQ,no,male,0,no,no,46,yes,yes,fiber-optic,no,yes,yes,no,yes,no,one-year,yes,credit-card-(automatic),94.9,4422.95
2380-DAMQP,no,female,0,yes,no,72,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,no,electronic-check,115.15,8349.7
2382-BCKQJ,yes,female,0,no,yes,62,yes,yes,fiber-optic,no,no,yes,no,yes,yes,one-year,yes,electronic-check,100.15,6413.65
2384-OVPSA,no,female,1,no,no,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,20.2,735.9
2386-LAHRK,yes,male,0,no,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,mailed-check,53.5,53.5
2386-OWURY,no,female,0,no,no,58,yes,no,fiber-optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic-check,95.3,5817.7
2387-KDZQY,no,male,0,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one-year,yes,mailed-check,20.1,279.5
2388-LAESQ,no,female,1,yes,no,72,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),114.85,8317.95
2391-IPLOP,no,male,0,yes,yes,50,yes,yes,dsl,no,no,yes,yes,yes,no,one-year,yes,electronic-check,69.65,3442.15
2391-SOORI,yes,male,0,no,yes,4,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic-check,49.35,219.65
2393-DIVAI,no,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed-check,20.0,61.7
2397-BRLOM,yes,male,1,yes,yes,8,yes,no,fiber-optic,no,no,no,no,yes,no,month-to-month,yes,credit-card-(automatic),80.45,583.45
2398-YPMUR,yes,female,1,yes,no,13,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,70.15,916.75
2400-FEQME,no,male,0,yes,yes,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,no,mailed-check,20.5,1177.95
2400-XIWIO,no,female,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two-year,no,electronic-check,90.1,6310.9
2402-TAIRZ,no,female,0,no,no,37,yes,no,fiber-optic,no,yes,yes,no,no,no,one-year,no,electronic-check,80.05,3019.1
2403-BCASL,yes,male,1,yes,yes,41,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,one-year,yes,electronic-check,111.95,4534.9
2404-JIBFC,no,female,0,yes,yes,55,yes,yes,dsl,yes,no,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),85.1,4657.95
2405-LBMUW,no,female,0,yes,yes,61,no,no phone service,dsl,yes,yes,no,yes,no,yes,one-year,yes,bank-transfer-(automatic),50.7,3088.75
2408-PSJVE,no,male,0,yes,yes,44,yes,no,dsl,no,yes,yes,yes,no,no,month-to-month,yes,mailed-check,61.9,2924.05
2408-TZMJL,yes,male,0,yes,no,59,yes,yes,fiber-optic,yes,yes,yes,no,yes,yes,one-year,yes,electronic-check,110.15,6448.05
2408-WITXK,yes,female,1,no,no,10,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic-check,34.7,329.8
2410-CIYFZ,no,male,0,no,yes,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed-check,20.4,42.9
2418-TPEUN,no,female,0,yes,yes,56,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two-year,yes,credit-card-(automatic),19.8,1119.9
2419-FSORS,no,male,0,yes,no,72,yes,yes,fiber-optic,no,yes,yes,yes,yes,yes,two-year,yes,electronic-check,108.4,7719.5
2424-GXJQO,,female,0,no,no,3,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,no,electronic-check,57.55,161.45
2424-WVHPL,no,male,1,no,no,1,yes,no,fiber-optic,no,no,no,yes,no,no,month-to-month,no,electronic-check,74.7,74.7
